                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                0.96233,                0.70503,                 1.1462,                0.72323,                0.69308,                0.72357,                0.39854,                 1.8468,                 1.2074,                 1.8197,               0.004984,               0.004984,               0.004984
                    154,                0.96639,                0.71187,                 1.1499,                0.72801,                0.68863,                0.72248,                0.39858,                 1.8422,                 1.1986,                 1.8175,               0.004951,               0.004951,               0.004951
                    155,                 0.9673,                0.70563,                 1.1472,                0.70214,                0.72385,                0.71808,                0.39943,                 1.8406,                 1.2403,                  1.826,               0.004918,               0.004918,               0.004918
                    156,                0.95438,                0.69931,                 1.1406,                0.67865,                 0.7289,                0.71456,                0.39562,                 1.8475,                 1.2594,                  1.832,               0.004885,               0.004885,               0.004885
                    157,                0.95053,                0.69245,                 1.1354,                0.68455,                0.71844,                0.71285,                0.39453,                  1.836,                   1.22,                 1.8199,               0.004852,               0.004852,               0.004852
                    158,                 0.9488,                0.69822,                 1.1418,                0.70768,                0.69468,                 0.7108,                0.39554,                 1.8409,                  1.221,                 1.8275,               0.004819,               0.004819,               0.004819
                    159,                0.95354,                0.69062,                 1.1404,                0.69711,                0.71164,                0.70946,                0.38994,                 1.8518,                 1.2339,                 1.8296,               0.004786,               0.004786,               0.004786
                    160,                0.95046,                0.69921,                 1.1423,                0.71616,                 0.7052,                0.71121,                0.39181,                 1.8719,                  1.206,                 1.8496,               0.004753,               0.004753,               0.004753
                    161,                0.95098,                0.69172,                 1.1448,                 0.6918,                0.73118,                0.71135,                0.39166,                 1.8835,                 1.2084,                 1.8583,                0.00472,                0.00472,                0.00472
                    162,                0.94137,                0.68675,                 1.1301,                0.69845,                0.72504,                0.71854,                0.39674,                 1.8684,                 1.2024,                 1.8518,               0.004687,               0.004687,               0.004687
                    163,                0.93024,                0.67959,                 1.1278,                0.68839,                0.72728,                 0.7104,                 0.3922,                 1.8696,                 1.2195,                 1.8449,               0.004654,               0.004654,               0.004654
                    164,                0.93846,                0.67324,                 1.1251,                0.69511,                0.72192,                0.71517,                 0.3934,                 1.8909,                 1.2214,                 1.8736,               0.004621,               0.004621,               0.004621
                    165,                0.93192,                0.66908,                 1.1235,                0.70711,                0.72702,                0.72472,                0.39897,                 1.8708,                 1.2087,                 1.8711,               0.004588,               0.004588,               0.004588
                    166,                0.92987,                0.67705,                 1.1273,                0.71595,                0.73131,                0.72181,                 0.4031,                 1.8505,                 1.1824,                 1.8538,               0.004555,               0.004555,               0.004555
                    167,                0.92759,                0.67633,                 1.1257,                0.72815,                0.70595,                0.71576,                0.40155,                  1.858,                 1.2081,                 1.8636,               0.004522,               0.004522,               0.004522
                    168,                 0.9233,                0.67129,                 1.1221,                0.67873,                 0.7231,                0.71568,                 0.4022,                 1.8628,                 1.2161,                 1.8758,               0.004489,               0.004489,               0.004489
                    169,                0.92325,                0.65737,                 1.1155,                 0.6915,                0.72114,                0.72157,                0.40165,                 1.8898,                 1.2282,                 1.8974,               0.004456,               0.004456,               0.004456
                    170,                0.91606,                  0.669,                 1.1164,                0.70875,                0.70678,                0.72177,                0.40345,                 1.8735,                 1.2063,                 1.8768,               0.004423,               0.004423,               0.004423
                    171,                0.90318,                0.65274,                 1.1149,                0.70755,                0.70772,                0.71805,                0.40025,                 1.8581,                 1.2165,                 1.8611,                0.00439,                0.00439,                0.00439
                    172,                0.92166,                0.66334,                 1.1201,                0.70387,                0.70995,                0.71538,                0.40473,                 1.8499,                 1.2068,                 1.8477,               0.004357,               0.004357,               0.004357
                    173,                0.91378,                0.65551,                 1.1167,                0.72295,                0.69509,                0.72155,                0.40123,                 1.8348,                 1.2329,                 1.8455,               0.004324,               0.004324,               0.004324
                    174,                0.90914,                0.66058,                 1.1177,                0.71454,                0.69732,                0.71995,                0.40447,                 1.8376,                 1.2447,                 1.8626,               0.004291,               0.004291,               0.004291
                    175,                0.90791,                0.64653,                 1.1112,                0.69267,                0.71757,                0.71781,                0.40349,                 1.8129,                 1.2288,                 1.8438,               0.004258,               0.004258,               0.004258
                    176,                0.91143,                0.66789,                  1.117,                0.69942,                0.71406,                0.71738,                0.40017,                  1.816,                 1.2188,                 1.8525,               0.004225,               0.004225,               0.004225
                    177,                0.90579,                0.65049,                 1.1109,                0.69944,                0.70947,                0.71886,                0.39899,                 1.8364,                 1.2271,                 1.8787,               0.004192,               0.004192,               0.004192
                    178,                 0.9018,                0.64489,                 1.1062,                0.68949,                0.72145,                0.72015,                0.39829,                 1.8482,                 1.2328,                 1.8818,               0.004159,               0.004159,               0.004159
                    179,                0.89853,                0.64765,                 1.1055,                0.70021,                0.72223,                0.72408,                0.40398,                   1.86,                 1.2377,                  1.898,               0.004126,               0.004126,               0.004126
                    180,                0.89598,                0.64015,                 1.1065,                0.69762,                0.72277,                0.72035,                0.40366,                 1.8559,                 1.2369,                  1.891,               0.004093,               0.004093,               0.004093
                    181,                0.89486,                0.63838,                 1.1056,                0.69896,                0.72688,                0.72128,                0.40573,                 1.8512,                 1.2157,                 1.8963,                0.00406,                0.00406,                0.00406
                    182,                0.88368,                0.63148,                 1.0975,                0.72764,                0.69373,                 0.7163,                 0.4045,                 1.8356,                   1.21,                 1.8812,               0.004027,               0.004027,               0.004027
                    183,                0.89189,                0.63347,                 1.1034,                 0.7155,                0.70674,                0.71492,                0.40261,                  1.834,                 1.1982,                 1.8874,               0.003994,               0.003994,               0.003994
                    184,                 0.8832,                0.63773,                    1.1,                0.74685,                0.67847,                0.71512,                0.40347,                 1.8299,                 1.2314,                 1.8871,               0.003961,               0.003961,               0.003961
                    185,                 0.8864,                0.63644,                 1.1023,                0.73792,                0.67881,                0.71679,                0.40353,                 1.8422,                 1.2442,                 1.8888,               0.003928,               0.003928,               0.003928
                    186,                 0.8747,                0.62834,                 1.1032,                 0.7149,                0.70154,                0.72258,                0.40527,                 1.8377,                 1.2411,                 1.8783,               0.003895,               0.003895,               0.003895
                    187,                0.87532,                0.63023,                 1.1002,                  0.711,                0.70103,                0.72207,                0.40344,                 1.8424,                 1.2149,                 1.8747,               0.003862,               0.003862,               0.003862
                    188,                0.88575,                0.63912,                 1.0987,                0.73646,                 0.6924,                0.72674,                0.40668,                 1.8355,                 1.2032,                 1.8711,               0.003829,               0.003829,               0.003829
                    189,                0.87312,                0.62656,                 1.0939,                0.72247,                0.71526,                  0.729,                0.40495,                 1.8351,                 1.2072,                  1.877,               0.003796,               0.003796,               0.003796
                    190,                0.86724,                0.62511,                 1.0892,                0.70795,                0.72639,                0.72585,                0.40494,                 1.8356,                 1.2104,                 1.8822,               0.003763,               0.003763,               0.003763
                    191,                0.86586,                0.62132,                  1.087,                0.70342,                0.71925,                0.72682,                 0.4055,                 1.8384,                 1.2057,                 1.8831,                0.00373,                0.00373,                0.00373
                    192,                0.86757,                0.61852,                 1.0886,                0.72584,                0.68587,                0.72235,                0.40591,                 1.8336,                 1.2223,                 1.8709,               0.003697,               0.003697,               0.003697
                    193,                 0.8693,                0.61977,                 1.0859,                0.73534,                0.68749,                0.72353,                0.40276,                 1.8267,                  1.217,                 1.8569,               0.003664,               0.003664,               0.003664
                    194,                0.84883,                0.60567,                 1.0794,                0.71577,                0.70538,                0.72202,                 0.4056,                 1.8212,                 1.2158,                 1.8493,               0.003631,               0.003631,               0.003631
                    195,                 0.8606,                0.61459,                 1.0879,                0.72079,                0.69789,                0.72422,                0.40659,                 1.8204,                  1.221,                  1.844,               0.003598,               0.003598,               0.003598
                    196,                0.85497,                0.61268,                 1.0805,                0.74211,                 0.6896,                0.72356,                0.40664,                 1.8179,                  1.236,                 1.8461,               0.003565,               0.003565,               0.003565
                    197,                0.85919,                0.60787,                 1.0815,                0.74885,                0.68039,                0.72702,                0.40514,                 1.8218,                 1.2466,                 1.8607,               0.003532,               0.003532,               0.003532
                    198,                 0.8505,                0.60593,                 1.0796,                0.70833,                0.70204,                0.72168,                0.40582,                 1.8243,                 1.2573,                 1.8633,               0.003499,               0.003499,               0.003499
                    199,                0.85518,                0.61118,                 1.0855,                0.71541,                0.69968,                0.72166,                0.40416,                 1.8306,                 1.2532,                 1.8641,               0.003466,               0.003466,               0.003466
                    200,                0.85236,                0.60194,                  1.081,                0.72899,                0.69265,                0.72506,                0.40556,                 1.8317,                 1.2528,                 1.8595,               0.003433,               0.003433,               0.003433
                    201,                0.85024,                0.60825,                 1.0831,                 0.6823,                0.73137,                0.72559,                0.40793,                 1.8241,                 1.2433,                 1.8566,                 0.0034,                 0.0034,                 0.0034
                    202,                0.84694,                0.60448,                 1.0796,                0.71316,                0.68979,                0.72165,                0.40608,                 1.8261,                 1.2393,                 1.8527,               0.003367,               0.003367,               0.003367
                    203,                0.84181,                0.60149,                 1.0761,                0.68646,                0.71285,                0.72288,                0.40435,                 1.8276,                 1.2347,                 1.8532,               0.003334,               0.003334,               0.003334
                    204,                0.83448,                0.58801,                 1.0745,                0.68967,                0.71472,                0.72016,                0.40485,                 1.8277,                 1.2447,                 1.8528,               0.003301,               0.003301,               0.003301
                    205,                0.83983,                 0.5956,                  1.072,                0.70153,                0.69153,                0.71744,                0.40458,                 1.8275,                 1.2575,                   1.85,               0.003268,               0.003268,               0.003268
                    206,                0.83161,                0.59372,                 1.0728,                0.68417,                0.70899,                0.71413,                0.40252,                 1.8232,                 1.2448,                 1.8474,               0.003235,               0.003235,               0.003235
                    207,                0.84032,                0.60136,                 1.0783,                0.73509,                0.67432,                0.71688,                0.40423,                 1.8239,                 1.2414,                 1.8418,               0.003202,               0.003202,               0.003202
                    208,                0.83291,                0.58996,                 1.0718,                0.73069,                0.67868,                0.71528,                0.40414,                 1.8155,                 1.2435,                 1.8386,               0.003169,               0.003169,               0.003169
                    209,                0.82681,                0.58718,                 1.0729,                0.72704,                0.67246,                 0.7097,                0.40419,                 1.8211,                 1.2422,                  1.849,               0.003136,               0.003136,               0.003136
                    210,                0.83154,                0.59475,                 1.0757,                0.71662,                 0.6826,                0.71156,                0.40374,                  1.822,                 1.2426,                 1.8541,               0.003103,               0.003103,               0.003103
                    211,                0.82801,                 0.5897,                 1.0715,                0.71803,                0.68647,                  0.711,                0.40294,                 1.8307,                 1.2501,                 1.8654,                0.00307,                0.00307,                0.00307
                    212,                0.81868,                0.58224,                 1.0668,                0.72179,                0.69384,                0.71451,                0.40272,                 1.8282,                 1.2455,                 1.8612,               0.003037,               0.003037,               0.003037
                    213,                0.81272,                0.57383,                 1.0633,                0.72289,                0.69209,                0.71042,                 0.4017,                 1.8337,                 1.2455,                 1.8746,               0.003004,               0.003004,               0.003004
                    214,                 0.8087,                0.57957,                 1.0574,                0.72625,                0.68717,                0.71164,                0.40075,                 1.8364,                 1.2408,                 1.8825,               0.002971,               0.002971,               0.002971
                    215,                0.82523,                0.58612,                 1.0697,                0.72732,                0.68828,                 0.7144,                 0.4026,                 1.8361,                 1.2365,                 1.8831,               0.002938,               0.002938,               0.002938
                    216,                0.80123,                0.56937,                 1.0606,                0.73393,                0.68842,                0.71575,                0.40481,                 1.8342,                 1.2359,                 1.8833,               0.002905,               0.002905,               0.002905
                    217,                  0.807,                0.57736,                 1.0622,                0.73359,                0.68827,                0.71312,                0.40287,                 1.8356,                 1.2499,                 1.8813,               0.002872,               0.002872,               0.002872
                    218,                0.80465,                0.57361,                 1.0603,                0.72832,                0.68294,                0.71075,                0.40395,                  1.834,                 1.2547,                 1.8806,               0.002839,               0.002839,               0.002839
                    219,                0.80846,                0.57522,                 1.0603,                0.72186,                0.68284,                0.71268,                0.40436,                 1.8302,                 1.2578,                 1.8731,               0.002806,               0.002806,               0.002806
                    220,                0.79797,                0.56919,                 1.0524,                0.75078,                 0.6635,                0.71795,                 0.4039,                 1.8217,                 1.2423,                 1.8648,               0.002773,               0.002773,               0.002773
                    221,                0.80673,                0.57343,                  1.064,                0.71957,                0.68677,                0.71831,                0.40345,                 1.8163,                 1.2314,                 1.8584,                0.00274,                0.00274,                0.00274
                    222,                0.80063,                0.57105,                 1.0551,                0.71099,                0.69523,                0.71342,                0.40419,                 1.8151,                 1.2329,                 1.8599,               0.002707,               0.002707,               0.002707
                    223,                0.80438,                0.56521,                 1.0608,                0.70724,                0.69662,                0.71214,                0.40336,                 1.8175,                 1.2368,                  1.863,               0.002674,               0.002674,               0.002674
                    224,                0.79939,                0.56589,                  1.057,                0.71797,                0.68104,                0.71568,                0.40393,                 1.8221,                 1.2395,                 1.8677,               0.002641,               0.002641,               0.002641
                    225,                0.79707,                0.56587,                 1.0593,                0.70678,                0.69413,                0.71687,                0.40542,                 1.8263,                  1.245,                 1.8708,               0.002608,               0.002608,               0.002608
                    226,                0.78936,                 0.5638,                 1.0512,                0.73313,                0.68158,                0.71741,                0.40601,                 1.8339,                 1.2553,                 1.8742,               0.002575,               0.002575,               0.002575
                    227,                0.79143,                0.55979,                 1.0561,                0.72032,                0.68567,                0.71412,                0.40463,                 1.8399,                 1.2635,                 1.8826,               0.002542,               0.002542,               0.002542
                    228,                 0.7818,                0.55023,                 1.0475,                0.71226,                 0.6962,                0.71736,                0.40537,                 1.8416,                 1.2661,                 1.8893,               0.002509,               0.002509,               0.002509
                    229,                0.79947,                0.56233,                 1.0527,                0.71966,                 0.6858,                0.71366,                0.40362,                 1.8426,                 1.2639,                 1.8914,               0.002476,               0.002476,               0.002476
                    230,                0.77802,                0.54635,                 1.0419,                0.72757,                0.69098,                0.71792,                0.40509,                 1.8417,                 1.2682,                 1.8929,               0.002443,               0.002443,               0.002443
                    231,                 0.7737,                0.55086,                 1.0452,                0.72403,                0.69201,                0.71846,                0.40502,                 1.8446,                 1.2724,                 1.8978,                0.00241,                0.00241,                0.00241
                    232,                0.78041,                0.55248,                 1.0475,                0.71459,                0.69338,                0.72007,                0.40456,                 1.8383,                 1.2683,                 1.8954,               0.002377,               0.002377,               0.002377
                    233,                0.77457,                0.54444,                 1.0447,                0.70928,                0.69887,                0.72148,                0.40518,                 1.8332,                 1.2651,                 1.8942,               0.002344,               0.002344,               0.002344
                    234,                0.77874,                0.55207,                 1.0462,                0.70838,                0.69718,                0.72006,                0.40372,                 1.8326,                 1.2893,                 1.8998,               0.002311,               0.002311,               0.002311
                    235,                0.76793,                0.54573,                 1.0433,                0.70196,                0.69664,                0.71819,                0.40514,                 1.8293,                 1.2761,                  1.899,               0.002278,               0.002278,               0.002278
                    236,                0.77489,                0.54707,                 1.0467,                0.70051,                0.69268,                0.71576,                 0.4043,                 1.8313,                  1.275,                 1.8992,               0.002245,               0.002245,               0.002245
                    237,                   0.77,                0.53843,                 1.0424,                0.68433,                 0.7022,                 0.7144,                0.40454,                 1.8334,                 1.2707,                  1.902,               0.002212,               0.002212,               0.002212
                    238,                0.76586,                 0.5402,                 1.0384,                0.67363,                0.71497,                0.71399,                 0.4061,                 1.8326,                 1.2756,                 1.9005,               0.002179,               0.002179,               0.002179
                    239,                0.76769,                0.54229,                 1.0448,                0.68441,                0.70305,                 0.7131,                0.40548,                 1.8375,                 1.2757,                 1.9085,               0.002146,               0.002146,               0.002146
                    240,                0.75338,                0.52912,                 1.0345,                0.68932,                0.69931,                 0.7138,                0.40671,                 1.8403,                 1.2754,                 1.9107,               0.002113,               0.002113,               0.002113
                    241,                0.76201,                0.53672,                 1.0417,                0.69221,                0.69757,                0.71436,                0.40578,                 1.8363,                 1.2778,                 1.9083,                0.00208,                0.00208,                0.00208
                    242,                0.75351,                0.53019,                 1.0301,                0.69262,                0.69407,                0.71228,                0.40626,                 1.8364,                 1.2788,                  1.907,               0.002047,               0.002047,               0.002047
                    243,                0.76058,                0.53279,                 1.0346,                 0.6921,                0.69725,                0.71453,                0.40614,                  1.837,                 1.2894,                 1.9053,               0.002014,               0.002014,               0.002014
                    244,                0.75676,                0.52898,                 1.0356,                0.69258,                0.70023,                0.71468,                0.40565,                 1.8377,                 1.2895,                 1.9078,               0.001981,               0.001981,               0.001981
                    245,                0.75809,                0.53018,                 1.0384,                0.69505,                0.70285,                 0.7184,                0.40664,                 1.8374,                 1.2888,                 1.9047,               0.001948,               0.001948,               0.001948
                    246,                 0.7574,                0.52783,                 1.0395,                0.69741,                0.70437,                0.72041,                0.40824,                  1.834,                 1.2831,                 1.8985,               0.001915,               0.001915,               0.001915
                    247,                0.75008,                0.52302,                 1.0334,                0.70433,                0.69557,                0.72153,                0.40801,                 1.8378,                 1.2726,                 1.9011,               0.001882,               0.001882,               0.001882
                    248,                0.74968,                 0.5265,                 1.0318,                 0.7178,                0.69125,                0.72083,                0.40811,                 1.8364,                 1.2706,                 1.8992,               0.001849,               0.001849,               0.001849
                    249,                0.74929,                 0.5246,                 1.0345,                0.71808,                0.68841,                0.72136,                0.40879,                 1.8381,                 1.2883,                 1.8974,               0.001816,               0.001816,               0.001816
                    250,                0.74075,                0.51753,                 1.0302,                0.71653,                0.68815,                0.71927,                0.40929,                 1.8371,                 1.2841,                 1.8965,               0.001783,               0.001783,               0.001783
                    251,                 0.7435,                0.52275,                 1.0311,                0.71642,                0.69071,                  0.721,                0.41029,                 1.8365,                 1.2775,                 1.8944,                0.00175,                0.00175,                0.00175
                    252,                0.73441,                0.51023,                 1.0215,                0.72183,                0.68557,                0.72059,                 0.4101,                 1.8356,                 1.2771,                 1.8945,               0.001717,               0.001717,               0.001717
                    253,                 0.7348,                0.51138,                 1.0261,                0.72361,                0.68603,                0.72119,                0.41047,                 1.8469,                 1.2725,                  1.909,               0.001684,               0.001684,               0.001684
                    254,                0.73555,                0.51635,                 1.0258,                0.73497,                0.67312,                0.72103,                0.40987,                 1.8447,                  1.271,                 1.9052,               0.001651,               0.001651,               0.001651
                    255,                0.73819,                0.51786,                 1.0281,                 0.7369,                0.67464,                0.72067,                0.40947,                  1.848,                 1.2791,                 1.9141,               0.001618,               0.001618,               0.001618
                    256,                0.73217,                0.50945,                  1.023,                0.74156,                0.67258,                 0.7212,                0.40936,                 1.8343,                 1.2915,                 1.8944,               0.001585,               0.001585,               0.001585
                    257,                0.72553,                0.50745,                 1.0245,                0.74695,                0.67163,                0.72073,                0.40916,                 1.8351,                 1.2918,                 1.8965,               0.001552,               0.001552,               0.001552
                    258,                0.72996,                0.50984,                 1.0253,                0.75367,                 0.6669,                0.71986,                0.40941,                 1.8362,                 1.2905,                 1.8976,               0.001519,               0.001519,               0.001519
                    259,                0.72406,                0.50969,                 1.0219,                0.74931,                0.67014,                0.71823,                0.40722,                 1.8397,                 1.2878,                 1.9005,               0.001486,               0.001486,               0.001486
                    260,                0.72088,                0.50642,                 1.0211,                0.75728,                0.66693,                0.72028,                0.40772,                 1.8382,                 1.2887,                 1.8984,               0.001453,               0.001453,               0.001453
                    261,                0.71329,                0.50149,                 1.0199,                0.75379,                0.67054,                0.71963,                0.40713,                 1.8396,                  1.288,                 1.8994,                0.00142,                0.00142,                0.00142
                    262,                 0.7219,                0.50127,                 1.0191,                0.75851,                0.67251,                 0.7223,                0.40723,                 1.8406,                 1.2841,                 1.8996,               0.001387,               0.001387,               0.001387
                    263,                0.72287,                 0.5132,                 1.0208,                0.75347,                0.67385,                0.72113,                 0.4077,                 1.8419,                 1.2944,                  1.902,               0.001354,               0.001354,               0.001354
                    264,                0.71802,                0.49672,                 1.0166,                0.75263,                0.67633,                0.71903,                0.40766,                 1.8406,                 1.2894,                 1.9012,               0.001321,               0.001321,               0.001321
                    265,                0.71545,                0.50132,                 1.0184,                0.74696,                0.67623,                0.71897,                0.40961,                 1.8412,                 1.2864,                 1.9019,               0.001288,               0.001288,               0.001288
                    266,                0.71589,                0.49767,                 1.0167,                0.75067,                0.67486,                0.72053,                0.41011,                 1.8412,                  1.288,                 1.9028,               0.001255,               0.001255,               0.001255
                    267,                0.71842,                0.50416,                   1.02,                0.74803,                 0.6728,                0.72073,                 0.4112,                 1.8426,                 1.2845,                 1.9074,               0.001222,               0.001222,               0.001222
                    268,                0.70992,                0.49893,                 1.0142,                0.74999,                0.67122,                0.72119,                0.41012,                 1.8516,                 1.2818,                 1.9177,               0.001189,               0.001189,               0.001189
                    269,                0.70431,                0.49649,                 1.0125,                0.74781,                0.67524,                0.72094,                0.40951,                 1.8465,                 1.2834,                 1.9133,               0.001156,               0.001156,               0.001156
                    270,                 0.7038,                0.49107,                 1.0142,                0.74845,                0.67404,                 0.7187,                0.40856,                 1.8432,                 1.2851,                 1.9084,               0.001123,               0.001123,               0.001123
                    271,                0.70198,                0.49178,                 1.0109,                0.75239,                0.67213,                0.71886,                 0.4072,                 1.8422,                  1.288,                 1.9068,                0.00109,                0.00109,                0.00109
                    272,                0.69649,                0.48909,                 1.0094,                0.74981,                0.67598,                0.71913,                0.40728,                 1.8427,                 1.2953,                 1.9074,               0.001057,               0.001057,               0.001057
                    273,                0.70492,                0.49272,                 1.0116,                0.74986,                0.67522,                0.71903,                0.40717,                 1.8404,                 1.3081,                 1.9068,               0.001024,               0.001024,               0.001024
                    274,                0.69244,                0.48163,                 1.0062,                0.74972,                 0.6754,                0.71924,                0.40791,                 1.8403,                 1.3059,                 1.9071,               0.000991,               0.000991,               0.000991
                    275,                0.69465,                0.48636,                 1.0094,                0.74602,                0.67685,                0.71803,                0.40818,                 1.8397,                 1.2986,                 1.9052,               0.000958,               0.000958,               0.000958
                    276,                0.70001,                0.48494,                 1.0123,                0.74406,                0.67458,                0.71717,                0.40781,                 1.8381,                 1.3055,                 1.9028,               0.000925,               0.000925,               0.000925
                    277,                0.69099,                0.48179,                 1.0063,                0.74415,                0.67407,                0.71731,                0.40809,                 1.8389,                 1.3052,                  1.903,               0.000892,               0.000892,               0.000892
                    278,                0.69197,                0.47912,                 1.0079,                0.74429,                0.67615,                0.71791,                0.40722,                 1.8404,                 1.3073,                 1.9048,               0.000859,               0.000859,               0.000859
                    279,                0.68871,                0.48332,                 1.0074,                0.74333,                0.67583,                0.71638,                0.40748,                 1.8421,                 1.3083,                 1.9088,               0.000826,               0.000826,               0.000826
                    280,                0.69005,                0.48034,                 1.0076,                0.74487,                0.67672,                0.71728,                0.40736,                 1.8421,                 1.3095,                 1.9089,               0.000793,               0.000793,               0.000793
                    281,                 0.6848,                0.47767,                 1.0056,                0.74219,                0.67809,                0.71627,                0.40671,                 1.8432,                 1.3075,                   1.91,                0.00076,                0.00076,                0.00076
                    282,                0.68268,                0.47736,                 1.0009,                0.73845,                0.67891,                0.71609,                 0.4064,                 1.8419,                 1.3061,                  1.909,               0.000727,               0.000727,               0.000727
                    283,                0.68519,                0.47837,                 1.0021,                0.73246,                0.67885,                0.71648,                0.40654,                 1.8408,                 1.3103,                 1.9101,               0.000694,               0.000694,               0.000694
                    284,                0.68444,                0.47216,                 1.0064,                 0.7384,                0.67635,                0.71717,                0.40698,                  1.841,                 1.3081,                 1.9115,               0.000661,               0.000661,               0.000661
                    285,                  0.683,                0.47722,                 1.0011,                0.72795,                0.67852,                0.71648,                0.40687,                 1.8402,                 1.3084,                  1.911,               0.000628,               0.000628,               0.000628
                    286,                0.67203,                0.46708,                0.99867,                0.73656,                0.67588,                0.71631,                0.40691,                 1.8389,                 1.3096,                  1.909,               0.000595,               0.000595,               0.000595
                    287,                0.67655,                0.46932,                 1.0019,                0.73317,                0.67451,                0.71561,                0.40672,                 1.8401,                 1.3124,                 1.9103,               0.000562,               0.000562,               0.000562
                    288,                0.67196,                0.46816,                0.99859,                0.73693,                0.67497,                0.71617,                0.40635,                 1.8393,                 1.3117,                 1.9101,               0.000529,               0.000529,               0.000529
                    289,                0.66694,                0.46377,                0.99766,                 0.7339,                0.67547,                0.71585,                0.40636,                 1.8397,                 1.3118,                 1.9112,               0.000496,               0.000496,               0.000496
                    290,                0.67461,                0.47326,                 1.0027,                0.73881,                0.67533,                0.71571,                0.40501,                 1.8393,                 1.3129,                 1.9114,               0.000463,               0.000463,               0.000463
                    291,                0.59115,                0.38372,                0.95302,                 0.7381,                0.67373,                 0.7153,                0.40531,                 1.8397,                 1.3082,                 1.9142,                0.00043,                0.00043,                0.00043
                    292,                0.55385,                0.34805,                 0.9327,                0.74166,                0.67367,                0.71483,                0.40478,                 1.8408,                 1.3053,                 1.9145,               0.000397,               0.000397,               0.000397
                    293,                0.54742,                0.33941,                0.93273,                0.73435,                0.67664,                0.71489,                0.40504,                 1.8402,                 1.2987,                 1.9147,               0.000364,               0.000364,               0.000364
                    294,                 0.5365,                0.33081,                0.92738,                0.74258,                0.67547,                0.71562,                0.40592,                 1.8399,                 1.2932,                 1.9167,               0.000331,               0.000331,               0.000331
                    295,                0.53684,                0.32674,                0.92973,                0.74686,                0.67536,                0.71561,                0.40574,                 1.8395,                 1.2946,                 1.9181,               0.000298,               0.000298,               0.000298
                    296,                0.52466,                0.32562,                0.92474,                0.74812,                0.67412,                 0.7153,                0.40661,                 1.8397,                 1.2935,                 1.9179,               0.000265,               0.000265,               0.000265
                    297,                0.52826,                0.32721,                 0.9293,                0.75136,                0.67272,                0.71694,                0.40586,                 1.8388,                 1.2903,                 1.9192,               0.000232,               0.000232,               0.000232
                    298,                0.52574,                0.32245,                0.92652,                0.75387,                0.67233,                0.71687,                0.40596,                 1.8423,                 1.2875,                 1.9266,               0.000199,               0.000199,               0.000199
                    299,                0.51537,                0.31853,                 0.9202,                0.75439,                0.67207,                0.71743,                0.40598,                 1.8412,                 1.2894,                 1.9258,               0.000166,               0.000166,               0.000166
                    300,                0.51395,                0.31907,                0.92284,                0.75509,                0.67138,                0.71724,                0.40538,                 1.8418,                 1.2927,                 1.9258,               0.000133,               0.000133,               0.000133
